# File: s_info.txt

# N:class_num
# W:Weapon_type:efficiency (0, 2-7)
# M:misc_num:efficiency (0, 2-7)
# S:REALM:efficiency (0-20)

### Soldier ###
N:0
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:5	# WT_SMALL_SWORD
W:2:5	# WT_KATANA
W:3:5	# WT_SWORD
W:4:5	# WT_GREAT_SWORD
W:5:5	# WT_AXE
W:6:5	# WT_SPEAR
W:7:5	# WT_LANCE
W:8:5	# WT_CLAW
W:9:5	# WT_SCYTHE
W:10:7	# WT_WHIP
W:11:5	# WT_HAMMER
W:12:0	# WT_STAFF
W:13:0	# WT_FAN
W:14:6	# WT_BOW
W:15:7	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:7 # NITOURYU
M:2:0 # RIDING
M:3:7 # THROWING
M:4:7 # PET_UPKEEP
M:5:4 # SENSE_ARMS
M:6:7 # SENSE_ACC
M:7:0 # SPELL_CAST
# Magic
S:1:0 # MAGIC_MAGERY
S:2:0 # MAGIC_FIRE
S:3:0 # MAGIC_AQUA
S:4:0 # MAGIC_EARTH
S:5:0 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE


### Knight ###
N:1
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:3	# WT_SMALL_SWORD
W:2:7	# WT_KATANA
W:3:3	# WT_SWORD
W:4:3	# WT_GREAT_SWORD
W:5:3	# WT_AXE
W:6:3	# WT_SPEAR
W:7:2	# WT_LANCE
W:8:6	# WT_CLAW
W:9:3	# WT_SCYTHE
W:10:7	# WT_WHIP
W:11:7	# WT_HAMMER
W:12:0	# WT_STAFF
W:13:0	# WT_FAN
W:14:6	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:0 # NITOURYU
M:2:3 # RIDING
M:3:0 # THROWING
M:4:4 # PET_UPKEEP
M:5:3 # SENSE_ARMS
M:6:0 # SENSE_ACC
M:7:0 # SPELL_CAST
# Magic
S:1:0 # MAGIC_MAGERY
S:2:0 # MAGIC_FIRE
S:3:0 # MAGIC_AQUA
S:4:0 # MAGIC_EARTH
S:5:0 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE






### Berserker ###
N:2
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:6	# WT_SMALL_SWORD
W:2:0	# WT_KATANA
W:3:0	# WT_SWORD
W:4:7	# WT_GREAT_SWORD
W:5:2	# WT_AXE
W:6:0	# WT_SPEAR
W:7:0	# WT_LANCE
W:8:3	# WT_CLAW
W:9:0	# WT_SCYTHE
W:10:0	# WT_WHIP
W:11:2	# WT_HAMMER
W:12:0	# WT_STAFF
W:13:0	# WT_FAN
W:14:0	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:0 # NITOURYU
M:2:0 # RIDING
M:3:3 # THROWING
M:4:0 # PET_UPKEEP
M:5:3 # SENSE_ARMS
M:6:0 # SENSE_ACC
M:7:0 # SPELL_CAST
# Magic
S:1:0 # MAGIC_MAGERY
S:2:0 # MAGIC_FIRE
S:3:0 # MAGIC_AQUA
S:4:0 # MAGIC_EARTH
S:5:0 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE






### Terror-Knight ###
N:3
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:0	# WT_SMALL_SWORD
W:2:2	# WT_KATANA
W:3:2	# WT_SWORD
W:4:2	# WT_GREAT_SWORD
W:5:2	# WT_AXE
W:6:5	# WT_SPEAR
W:7:5	# WT_LANCE
W:8:3	# WT_CLAW
W:9:3	# WT_SCYTHE
W:10:0	# WT_WHIP
W:11:3	# WT_HAMMER
W:12:0	# WT_STAFF
W:13:0	# WT_FAN
W:14:0	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:3 # NITOURYU
M:2:0 # RIDING
M:3:0 # THROWING
M:4:0 # PET_UPKEEP
M:5:2 # SENSE_ARMS
M:6:0 # SENSE_ACC
M:7:0 # SPELL_CAST
# Magic
S:1:0 # MAGIC_MAGERY
S:2:0 # MAGIC_FIRE
S:3:0 # MAGIC_AQUA
S:4:0 # MAGIC_EARTH
S:5:0 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE





### BeastTamer ###
N:4
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:3	# WT_SMALL_SWORD
W:2:0	# WT_KATANA
W:3:4	# WT_SWORD
W:4:0	# WT_GREAT_SWORD
W:5:4	# WT_AXE
W:6:6	# WT_SPEAR
W:7:3	# WT_LANCE
W:8:0	# WT_CLAW
W:9:3	# WT_SCYTHE
W:10:2	# WT_WHIP
W:11:7	# WT_HAMMER
W:12:0	# WT_STAFF
W:13:0	# WT_FAN
W:14:6	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:0 # NITOURYU
M:2:2 # RIDING
M:3:0 # THROWING
M:4:2 # PET_UPKEEP
M:5:6 # SENSE_ARMS
M:6:6 # SENSE_ACC
M:7:0 # SPELL_CAST
# Magic
S:1:0 # MAGIC_MAGERY
S:2:0 # MAGIC_FIRE
S:3:0 # MAGIC_AQUA
S:4:0 # MAGIC_EARTH
S:5:0 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:13 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE





### Sword-Master ###
N:5
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:2	# WT_SMALL_SWORD
W:2:2	# WT_KATANA
W:3:2	# WT_SWORD
W:4:2	# WT_GREAT_SWORD
W:5:0	# WT_AXE
W:6:0	# WT_SPEAR
W:7:0	# WT_LANCE
W:8:2	# WT_CLAW
W:9:0	# WT_SCYTHE
W:10:0	# WT_WHIP
W:11:0	# WT_HAMMER
W:12:0	# WT_STAFF
W:13:0	# WT_FAN
W:14:7	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:2 # NITOURYU
M:2:0 # RIDING
M:3:0 # THROWING
M:4:0 # PET_UPKEEP
M:5:4 # SENSE_ARMS
M:6:0 # SENSE_ACC
M:7:0 # SPELL_CAST
# Magic
S:1:0 # MAGIC_MAGERY
S:2:5 # MAGIC_FIRE
S:3:5 # MAGIC_AQUA
S:4:5 # MAGIC_EARTH
S:5:5 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE





### Dragoon ###
N:6
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:5	# WT_SMALL_SWORD
W:2:7	# WT_KATANA
W:3:3	# WT_SWORD
W:4:3	# WT_GREAT_SWORD
W:5:7	# WT_AXE
W:6:5	# WT_SPEAR
W:7:0	# WT_LANCE
W:8:0	# WT_CLAW
W:9:0	# WT_SCYTHE
W:10:0	# WT_WHIP
W:11:0	# WT_HAMMER
W:12:0	# WT_STAFF
W:13:0	# WT_FAN
W:14:6	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:0 # NITOURYU
M:2:0 # RIDING
M:3:0 # THROWING
M:4:0 # PET_UPKEEP
M:5:6 # SENSE_ARMS
M:6:0 # SENSE_ACC
M:7:0 # SPELL_CAST
# Magic
S:1:0 # MAGIC_MAGERY
S:2:0 # MAGIC_FIRE
S:3:0 # MAGIC_AQUA
S:4:0 # MAGIC_EARTH
S:5:0 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:6 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE





### Ninja ###
N:7
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:2	# WT_SMALL_SWORD
W:2:0	# WT_KATANA
W:3:5	# WT_SWORD
W:4:0	# WT_GREAT_SWORD
W:5:0	# WT_AXE
W:6:0	# WT_SPEAR
W:7:0	# WT_LANCE
W:8:2	# WT_CLAW
W:9:0	# WT_SCYTHE
W:10:0	# WT_WHIP
W:11:0	# WT_HAMMER
W:12:0	# WT_STAFF
W:13:0	# WT_FAN
W:14:4	# WT_BOW
W:15:7	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:4 # NITOURYU
M:2:0 # RIDING
M:3:2 # THROWING
M:4:0 # PET_UPKEEP
M:5:6 # SENSE_ARMS
M:6:0 # SENSE_ACC
M:7:0 # SPELL_CAST
# Magic
S:1:0 # MAGIC_MAGERY
S:2:6 # MAGIC_FIRE
S:3:6 # MAGIC_AQUA
S:4:6 # MAGIC_EARTH
S:5:6 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE





### Wizard ###
N:8
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:6	# WT_SMALL_SWORD
W:2:0	# WT_KATANA
W:3:0	# WT_SWORD
W:4:0	# WT_GREAT_SWORD
W:5:0	# WT_AXE
W:6:0	# WT_SPEAR
W:7:0	# WT_LANCE
W:8:0	# WT_CLAW
W:9:0	# WT_SCYTHE
W:10:7	# WT_WHIP
W:11:0	# WT_HAMMER
W:12:2	# WT_STAFF
W:13:0	# WT_FAN
W:14:7	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:0 # NITOURYU
M:2:0 # RIDING
M:3:0 # THROWING
M:4:0 # PET_UPKEEP
M:5:0 # SENSE_ARMS
M:6:3 # SENSE_ACC
M:7:2 # SPELL_CAST
# Magic
S:1:13 # MAGIC_MAGERY
S:2:13 # MAGIC_FIRE
S:3:13 # MAGIC_AQUA
S:4:13 # MAGIC_EARTH
S:5:13 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
